name,lat,lng,line
大兴集,31.841899,117.392056,6
唐大楼,31.834537,117.342345,6
石门路,31.777051,117.256658,7
紫庐,31.746481,117.310032,7
松谷路,31.787025,117.227887,7
徽富路,31.746791,117.331321,7
耕耘路,31.766249,117.25664,7
嵩山路,31.746617,117.321875,7
要素大市场,31.755912,117.292586,7
清潭路,31.759703,117.265991,7
天都路,31.782647,117.244886,7
繁华大道,31.788362,117.215394,7
松林路,31.788028,117.202225,7
习友路,31.762095,117.276843,7
天津路,31.747125,117.355471,7
广西路,31.74659,117.298195,7
莲花路,31.782626,117.237686,7
义城,31.747049,117.344678,7
